event_ts,node_id,scope_topic,event_type,origin_writer_id,magnitude_id,prev_seq,curr_seq,lost_messages,gap_duration_ms,notes
2026-04-17T12:11:03Z,analysis-aggregator,air_quality_raw,FIRST_SEEN,pub-mag12,12,0,1,0,0,first sample for this flow
2026-04-17T12:11:04Z,analysis-aggregator,air_quality_raw,FIRST_SEEN,pub-mag06,6,0,1,0,0,first sample for this flow
2026-04-17T12:11:05Z,analysis-aggregator,air_quality_raw,FIRST_SEEN,pub-mag01,1,0,1,0,0,first sample for this flow
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,1,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,2,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,3,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,4,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,5,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,6,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,7,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,8,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,9,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,10,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,11,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,12,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,13,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,14,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,15,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,16,0,0,out-of-order or writer restart
2026-04-17T12:13:01Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,17,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,18,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,19,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,20,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,21,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,22,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,23,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,24,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,25,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,26,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,27,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,28,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,29,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,30,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,31,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,32,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,33,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,34,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,35,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,36,0,0,out-of-order or writer restart
2026-04-17T12:13:02Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,37,0,0,out-of-order or writer restart
2026-04-17T12:13:03Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,38,0,0,out-of-order or writer restart
2026-04-17T12:13:03Z,analysis-aggregator,air_quality_raw,OUT_OF_ORDER,pub-mag01,1,2164,39,0,0,out-of-order or writer restart
